step,loss,grad_norm,learning_rate,epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
10,3.7641258239746094,5.974933624267578,9.756097560975611e-06,0.007371913011426466,,,,
20,3.21192626953125,2.7396280765533447,2.601626016260163e-05,0.014743826022852931,,,,
30,2.4734930038452148,2.6071977615356445,4.2276422764227644e-05,0.022115739034279394,,,,
40,1.556821060180664,1.9690943956375122,5.853658536585366e-05,0.029487652045705862,,,,
50,0.8008014678955078,1.0543460845947266,7.317073170731707e-05,0.036859565057132324,,,,
60,0.6448081016540528,2.82322096824646,8.943089430894309e-05,0.04423147806855879,,,,
70,0.540083932876587,1.7049546241760254,0.00010569105691056911,0.05160339107998525,,,,
80,0.44876680374145506,0.6274352073669434,0.00012195121951219512,0.058975304091411725,,,,
90,0.42769861221313477,,0.00013821138211382114,0.06634721710283818,,,,
100,0.43845443725585936,0.6027834415435791,0.00015284552845528458,0.07371913011426465,,,,
100,,,,0.07371913011426465,0.4425339996814728,611.8315,3.79,1.896
110,0.43993167877197265,0.5874863266944885,0.00016910569105691058,0.08109104312569111,,,,
120,0.45845694541931153,0.5376644730567932,0.0001853658536585366,0.08846295613711758,,,,
130,0.4039489269256592,0.8587861061096191,0.00019994934143870315,0.09583486914854404,,,,
140,0.49413228034973145,1.0440125465393066,0.00019944275582573455,0.1032067821599705,,,,
150,0.47627034187316897,0.5435711741447449,0.00019893617021276595,0.11057869517139697,,,,
160,0.47324109077453613,0.4699808359146118,0.00019842958459979736,0.11795060818282345,,,,
170,0.4329195976257324,0.6340051889419556,0.00019792299898682879,0.12532252119424991,,,,
180,0.4053939342498779,0.5355486273765564,0.0001974164133738602,0.13269443420567636,,,,
190,0.3542516231536865,0.9410973787307739,0.0001969098277608916,0.14006634721710284,,,,
200,0.3888909101486206,0.9155452847480774,0.000196403242147923,0.1474382602285293,,,,
200,,,,0.1474382602285293,0.4086393117904663,603.1636,3.845,1.923
210,0.37867906093597414,0.7646902799606323,0.00019589665653495442,0.15481017323995577,,,,
220,0.4079521656036377,0.5924115777015686,0.00019539007092198582,0.16218208625138222,,,,
230,0.400190544128418,1.1172233819961548,0.00019488348530901723,0.1695539992628087,,,,
240,0.4183056831359863,0.6920288801193237,0.00019442755825734552,0.17692591227423515,,,,
250,0.4181556701660156,0.6813246011734009,0.00019392097264437692,0.18429782528566163,,,,
260,0.4130844593048096,0.6178460121154785,0.0001934143870314083,0.19166973829708808,,,,
270,0.40012164115905763,0.7040637731552124,0.00019290780141843972,0.19904165130851456,,,,
280,0.40324959754943845,1.2062264680862427,0.00019240121580547113,0.206413564319941,,,,
290,0.3647010087966919,0.6750038266181946,0.00019189463019250253,0.2137854773313675,,,,
300,0.41533455848693845,0.5770673751831055,0.00019138804457953393,0.22115739034279394,,,,
300,,,,0.22115739034279394,0.3936425447463989,603.0731,3.845,1.923
310,0.4049099922180176,0.7952533960342407,0.00019093211752786222,0.22852930335422042,,,,
320,0.4345813274383545,0.9093345999717712,0.00019042553191489362,0.2359012163656469,,,,
330,0.40108699798583985,0.6659085154533386,0.00018991894630192505,0.24327312937707335,,,,
340,0.3724689483642578,0.6716445088386536,0.00018941236068895645,0.25064504238849983,,,,
350,0.39006454944610597,0.7439641356468201,0.00018890577507598786,0.2580169553999263,,,,
360,0.42040104866027833,0.7401335835456848,0.00018839918946301926,0.26538886841135273,,,,
370,0.39703216552734377,0.7797941565513611,0.0001878926038500507,0.2727607814227792,,,,
380,0.36795825958251954,0.5855407118797302,0.0001873860182370821,0.2801326944342057,,,,
390,0.37119791507720945,6.088244915008545,0.0001868794326241135,0.28750460744563217,,,,
400,0.40596375465393064,0.6827570199966431,0.0001863728470111449,0.2948765204570586,,,,
400,,,,0.2948765204570586,0.38665491342544556,603.7677,3.841,1.921
410,0.408919620513916,0.4697125554084778,0.00018586626139817632,0.30224843346848507,,,,
420,0.39785354137420653,0.7133679389953613,0.0001853596757852077,0.30962034647991155,,,,
430,0.40040202140808107,0.5480940937995911,0.0001848530901722391,0.316992259491338,,,,
440,0.3863576173782349,0.7293075919151306,0.0001843465045592705,0.32436417250276445,,,,
450,0.3875732898712158,0.6039451956748962,0.00018383991894630193,0.3317360855141909,,,,
460,0.3684717655181885,0.5161134004592896,0.00018333333333333334,0.3391079985256174,,,,
470,0.3847010612487793,0.5086596608161926,0.00018282674772036474,0.3464799115370439,,,,
480,0.40805630683898925,0.5352048873901367,0.00018232016210739614,0.3538518245484703,,,,
490,0.3809926986694336,1.6104196310043335,0.00018181357649442757,0.3612237375598968,,,,
500,0.3724407911300659,1.416094422340393,0.00018130699088145897,0.36859565057132326,,,,
